vi	V(vo)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	9.993697e-002	5.252601e-008
2.000000000000000e-001	1.994089e-001	4.926444e-007
3.000000000000000e-001	2.953440e-001	3.879990e-006
4.000000000000000e-001	3.746108e-001	2.116194e-005
5.000000000000000e-001	4.251487e-001	6.237628e-005
6.000000000000000e-001	4.558826e-001	1.201596e-004
7.000000000000000e-001	4.763460e-001	1.863842e-004
7.999999999999999e-001	4.916614e-001	2.571697e-004
8.999999999999999e-001	5.032951e-001	3.307014e-004
9.999999999999999e-001	5.128032e-001	4.060352e-004
1.100000000000000e+000	5.208631e-001	4.826318e-004
1.200000000000000e+000	5.278230e-001	5.601578e-004
1.300000000000000e+000	5.339345e-001	6.383940e-004
1.400000000000000e+000	5.393770e-001	7.171896e-004
1.500000000000000e+000	5.442793e-001	7.964364e-004
1.600000000000000e+000	5.487369e-001	8.760543e-004
1.700000000000000e+000	5.528221e-001	9.559828e-004
1.800000000000001e+000	5.565913e-001	1.036175e-003
1.900000000000001e+000	5.600892e-001	1.116593e-003
2.000000000000000e+000	5.633518e-001	1.197207e-003
