vi	V(vo)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	9.993067e-002	5.251800e-008
2.000000000000000e-001	1.993506e-001	4.920219e-007
3.000000000000000e-001	2.949243e-001	3.845258e-006
4.000000000000000e-001	3.730128e-001	2.045005e-005
5.000000000000000e-001	4.223865e-001	5.879833e-005
6.000000000000000e-001	4.525007e-001	1.117929e-004
7.000000000000000e-001	4.726534e-001	1.722371e-004
7.999999999999999e-001	4.877751e-001	2.367258e-004
8.999999999999999e-001	4.992988e-001	3.036604e-004
9.999999999999999e-001	5.087324e-001	3.722057e-004
1.100000000000000e+000	5.167360e-001	4.418823e-004
1.200000000000000e+000	5.236531e-001	5.123931e-004
1.300000000000000e+000	5.297312e-001	5.835424e-004
1.400000000000000e+000	5.351470e-001	6.551951e-004
1.500000000000000e+000	5.400274e-001	7.272542e-004
1.600000000000000e+000	5.444667e-001	7.996480e-004
1.700000000000000e+000	5.485364e-001	8.723220e-004
1.800000000000001e+000	5.522925e-001	9.452337e-004
1.900000000000001e+000	5.557790e-001	1.018350e-003
2.000000000000000e+000	5.590314e-001	1.091643e-003
