v1	V(vo)	I(D1)
-1.000000000000000e+001	-6.734476e+000	-2.721283e-003
-9.900000000000000e+000	-6.734107e+000	-2.638248e-003
-9.800000000000001e+000	-6.733738e+000	-2.555218e-003
-9.700000000000001e+000	-6.733365e+000	-2.472196e-003
-9.600000000000001e+000	-6.732982e+000	-2.389181e-003
-9.500000000000002e+000	-6.732590e+000	-2.306175e-003
-9.400000000000002e+000	-6.732188e+000	-2.223177e-003
-9.300000000000003e+000	-6.731774e+000	-2.140188e-003
-9.200000000000003e+000	-6.731349e+000	-2.057209e-003
-9.100000000000003e+000	-6.730910e+000	-1.974241e-003
-9.000000000000004e+000	-6.730458e+000	-1.891285e-003
-8.900000000000004e+000	-6.729990e+000	-1.808342e-003
-8.800000000000004e+000	-6.729505e+000	-1.725413e-003
-8.700000000000005e+000	-6.729002e+000	-1.642499e-003
-8.600000000000005e+000	-6.728478e+000	-1.559602e-003
-8.500000000000005e+000	-6.727932e+000	-1.476723e-003
-8.400000000000006e+000	-6.727361e+000	-1.393866e-003
-8.300000000000006e+000	-6.726761e+000	-1.311033e-003
-8.200000000000006e+000	-6.726130e+000	-1.228225e-003
-8.100000000000007e+000	-6.725462e+000	-1.145449e-003
-8.000000000000007e+000	-6.724752e+000	-1.062706e-003
-7.900000000000008e+000	-6.723995e+000	-9.800046e-004
-7.800000000000008e+000	-6.723180e+000	-8.973501e-004
-7.700000000000008e+000	-6.722298e+000	-8.147520e-004
-7.600000000000009e+000	-6.721334e+000	-7.322223e-004
-7.500000000000009e+000	-6.720268e+000	-6.497771e-004
-7.400000000000009e+000	-6.719074e+000	-5.674391e-004
-7.300000000000010e+000	-6.717712e+000	-4.852411e-004
-7.200000000000010e+000	-6.716122e+000	-4.032344e-004
-7.100000000000010e+000	-6.714202e+000	-3.215039e-004
-7.000000000000011e+000	-6.711768e+000	-2.402075e-004
-6.900000000000011e+000	-6.708425e+000	-1.596904e-004
-6.800000000000011e+000	-6.702826e+000	-8.098147e-005
-6.700000000000012e+000	-6.686748e+000	-1.104352e-005
-6.600000000000012e+000	-6.599993e+000	-5.505887e-009
-6.500000000000012e+000	-6.499994e+000	-5.261249e-009
-6.400000000000013e+000	-6.399994e+000	-5.238252e-009
-6.300000000000013e+000	-6.299994e+000	-5.215037e-009
-6.200000000000014e+000	-6.199994e+000	-5.191596e-009
-6.100000000000014e+000	-6.099994e+000	-5.167923e-009
-6.000000000000014e+000	-5.999994e+000	-5.144015e-009
-5.900000000000015e+000	-5.899994e+000	-5.119861e-009
-5.800000000000015e+000	-5.799994e+000	-5.095459e-009
-5.700000000000015e+000	-5.699994e+000	-5.070802e-009
-5.600000000000016e+000	-5.599994e+000	-5.045881e-009
-5.500000000000016e+000	-5.499994e+000	-5.020692e-009
-5.400000000000016e+000	-5.399994e+000	-4.995226e-009
-5.300000000000017e+000	-5.299994e+000	-4.969475e-009
-5.200000000000017e+000	-5.199994e+000	-4.943432e-009
-5.100000000000017e+000	-5.099994e+000	-4.917089e-009
-5.000000000000018e+000	-4.999994e+000	-4.890436e-009
-4.900000000000018e+000	-4.899994e+000	-4.863465e-009
-4.800000000000019e+000	-4.799994e+000	-4.836166e-009
-4.700000000000019e+000	-4.699994e+000	-4.808529e-009
-4.600000000000019e+000	-4.599994e+000	-4.780543e-009
-4.500000000000020e+000	-4.499994e+000	-4.752197e-009
-4.400000000000020e+000	-4.399994e+000	-4.723480e-009
