vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
0.000000000000000e+000	-1.394122e-003	1.394122e-006
1.000000000000000e-001	1.840423e-002	8.159578e-005
2.000000000000000e-001	3.183285e-002	1.681672e-004
3.000000000000000e-001	4.200281e-002	2.579972e-004
4.000000000000000e-001	5.027912e-002	3.497209e-004
5.000000000000000e-001	5.736729e-002	4.426327e-004
6.000000000000000e-001	6.358896e-002	5.364111e-004
7.000000000000000e-001	6.922904e-002	6.307710e-004
7.999999999999999e-001	7.444922e-002	7.255508e-004
8.999999999999999e-001	7.936119e-002	8.206388e-004
9.999999999999999e-001	8.405033e-002	9.159497e-004
1.100000000000000e+000	8.858469e-002	1.011415e-003
1.200000000000000e+000	9.302141e-002	1.106979e-003
1.300000000000000e+000	9.741130e-002	1.202589e-003
1.400000000000000e+000	1.018025e-001	1.298198e-003
1.500000000000000e+000	1.062434e-001	1.393757e-003
1.600000000000000e+000	1.107863e-001	1.489214e-003
1.700000000000000e+000	1.154909e-001	1.584509e-003
1.800000000000001e+000	1.204297e-001	1.679570e-003
1.900000000000001e+000	1.256962e-001	1.774304e-003
2.000000000000000e+000	1.314176e-001	1.868582e-003
2.100000000000001e+000	1.377783e-001	1.962222e-003
2.200000000000001e+000	1.450646e-001	2.054935e-003
2.300000000000001e+000	1.537588e-001	2.146241e-003
2.400000000000001e+000	1.647678e-001	2.235232e-003
2.500000000000001e+000	1.803816e-001	2.319618e-003
2.600000000000001e+000	2.063188e-001	2.393681e-003
2.700000000000001e+000	2.610532e-001	2.438947e-003
2.800000000000001e+000	3.501561e-001	2.449844e-003
2.900000000000001e+000	4.454110e-001	2.454589e-003
3.000000000000001e+000	5.409368e-001	2.459063e-003
3.100000000000001e+000	6.364723e-001	2.463528e-003
3.200000000000002e+000	7.320081e-001	2.467992e-003
3.300000000000002e+000	8.275440e-001	2.472456e-003
3.400000000000002e+000	9.230800e-001	2.476920e-003
3.500000000000002e+000	1.018616e+000	2.481384e-003
