Freq.	V(out)
1.00000000000000e+002	4.46137156315536e-001,1.81362847402714e-001
1.02329299228075e+002	4.73644288233778e-001,1.90885661645009e-001
1.04712854805090e+002	5.02942130613928e-001,2.00724387561083e-001
1.07151930523761e+002	5.34146389985299e-001,2.10865532081442e-001
1.09647819614318e+002	5.67379338987373e-001,2.21291465463958e-001
1.12201845430196e+002	6.02770035135717e-001,2.31979905993730e-001
1.14815362149688e+002	6.40454524713622e-001,2.42903361651008e-001
1.17489755493953e+002	6.80576027902201e-001,2.54028527015829e-001
1.20226443461741e+002	7.23285100976871e-001,2.65315633891006e-001
1.23026877081238e+002	7.68739770955840e-001,2.76717754348063e-001
1.25892541179417e+002	8.17105637709545e-001,2.88180055189486e-001
1.28824955169313e+002	8.68555938142780e-001,2.99639003159649e-001
1.31825673855641e+002	9.23271566679428e-001,3.11021520637147e-001
1.34896288259165e+002	9.81441045832001e-001,3.22244091994881e-001
1.38038426460288e+002	1.04326044043405e+000,3.33211821350908e-001
1.41253754462275e+002	1.10893320860503e+000,3.43817443004706e-001
1.44543977074593e+002	1.17866998234411e+000,3.53940286530551e-001
1.47910838816821e+002	1.25268827036170e+000,3.63445199203216e-001
1.51356124843621e+002	1.33121207557282e+000,3.72181429234371e-001
1.54881661891248e+002	1.41447141953548e+000,3.79981474145708e-001
1.58489319246111e+002	1.50270176609993e+000,3.86659899512392e-001
1.62181009735893e+002	1.59614333654203e+000,3.92012134283833e-001
1.65958690743756e+002	1.69504030860064e+000,3.95813249899715e-001
1.69824365246174e+002	1.79963989210681e+000,3.97816731468347e-001
1.73780082874937e+002	1.91019127424700e+000,3.97753250361370e-001
1.77827941003892e+002	2.02694442790805e+000,3.95329448681092e-001
1.81970085860998e+002	2.15014877738887e+000,3.90226747142339e-001
1.86208713666287e+002	2.28005171621233e+000,3.82100189044161e-001
1.90546071796324e+002	2.41689697306117e+000,3.70577334007554e-001
1.94984459975804e+002	2.56092282253373e+000,3.55257216262433e-001
1.99526231496888e+002	2.71236013902856e+000,3.35709383129381e-001
2.04173794466953e+002	2.87143029299216e+000,3.11473030317120e-001
2.08929613085404e+002	3.03834289075522e+000,2.82056251339403e-001
2.13796208950223e+002	3.21329336028604e+000,2.46935419114173e-001
2.18776162394955e+002	3.39646038769477e+000,2.05554718149909e-001
2.23872113856834e+002	3.58800321039546e+000,1.57325846300896e-001
2.29086765276777e+002	3.78805877548703e+000,1.01627905042380e-001
2.34422881531992e+002	3.99673877379290e+000,3.78074972736417e-002
2.39883291901949e+002	4.21412656225393e+000,-3.48209486329434e-002
2.45470891568503e+002	4.44027398936188e+000,-1.16974610202457e-001
2.51188643150958e+002	4.67519814094434e+000,-2.09401440187342e-001
2.57039578276886e+002	4.91887802585507e+000,-3.12879057337932e-001
2.63026799189538e+002	5.17125122286923e+000,-4.28213343190590e-001
2.69153480392691e+002	5.43221051308336e+000,-5.56236731258667e-001
2.75422870333816e+002	5.70160052356761e+000,-6.97806176576339e-001
2.81838293126445e+002	5.97921441036005e+000,-8.53800795705098e-001
2.88403150312660e+002	6.26479061059505e+000,-1.02511916966955e+000
2.95120922666638e+002	6.55800969560307e+000,-1.21267630505051e+000
3.01995172040201e+002	6.85849135731790e+000,-1.41740025080910e+000
3.09029543251358e+002	7.16579156291900e+000,-1.64022837234356e+000
3.16227766016837e+002	7.47939991229977e+000,-1.88210328685064e+000
3.23593656929628e+002	7.79873723420090e+000,-2.14396846799696e+000
3.31131121482590e+002	8.12315345685528e+000,-2.42676353136908e+000
3.38844156139202e+002	8.45192578917985e+000,-2.73141921636760e+000
3.46736850452531e+002	8.78425724729404e+000,-3.05885208339000e+000
3.54813389233575e+002	9.11927556103217e+000,-3.40995894991902e+000
3.63078054770101e+002	9.45603249297157e+000,-3.78561109239346e+000
3.71535229097172e+002	9.79350360094333e+000,-4.18664824489810e+000
3.80189396320560e+002	1.01305884728766e+001,-4.61387242977871e+000
3.89045144994280e+002	1.04661114591282e+001,-5.06804165784120e+000
3.98107170553496e+002	1.07988229255715e+001,-5.54986354075531e+000
4.07380277804112e+002	1.11274010455073e+001,-6.05998885958119e+000
4.16869383470335e+002	1.14504541455193e+001,-6.59900513732676e+000
4.26579518801592e+002	1.17665236154379e+001,-7.16743026531810e+000
4.36515832240165e+002	1.20740873877248e+001,-7.76570623468684e+000
4.46683592150962e+002	1.23715639867661e+001,-8.39419302608341e+000
4.57088189614874e+002	1.26573171431842e+001,-9.05316271121659e+000
4.67735141287197e+002	1.29296609628952e+001,-9.74279382007291e+000
4.78630092322637e+002	1.31868656352324e+001,-1.04631660273703e+001
4.89778819368445e+002	1.34271636588364e+001,-1.12142552104023e+001
5.01187233627271e+002	1.36487565590690e+001,-1.19959289296663e+001
5.12861383991364e+002	1.38498220647235e+001,-1.28079423796543e+001
5.24807460249771e+002	1.40285217082087e+001,-1.36499348576296e+001
5.37031796370251e+002	1.41830088069986e+001,-1.45214267904397e+001
5.49540873857623e+002	1.43114367816662e+001,-1.54218173604457e+001
5.62341325190348e+002	1.44119677604625e+001,-1.63503827627619e+001
5.75439937337155e+002	1.44827814183410e+001,-1.73062751257472e+001
5.88843655355587e+002	1.45220839944780e+001,-1.82885221181208e+001
6.02559586074356e+002	1.45281174306800e+001,-1.92960272633275e+001
6.16595001861481e+002	1.44991685710001e+001,-2.03275709754583e+001
6.30957344480192e+002	1.44335783618194e+001,-2.13818123257464e+001
