Freq.	-V(v1)/I(R5)
1.00000000000000e+002	7.43710948719395e+003,-7.25502064302301e+004
1.02329299228075e+002	7.43553363284424e+003,-7.09079769586622e+004
1.04712854805090e+002	7.43389052480252e+003,-6.93033157086594e+004
1.07151930523761e+002	7.43217757370739e+003,-6.77353701289574e+004
1.09647819614318e+002	7.43039211248536e+003,-6.62033070381157e+004
1.12201845430196e+002	7.42853139537321e+003,-6.47063121782502e+004
1.14815362149688e+002	7.42659259756744e+003,-6.32435897786135e+004
1.17489755493953e+002	7.42457281460954e+003,-6.18143621288740e+004
1.20226443461741e+002	7.42246906206031e+003,-6.04178691618105e+004
1.23026877081238e+002	7.42027827531737e+003,-5.90533680452343e+004
1.25892541179417e+002	7.41799730959248e+003,-5.77201327829071e+004
1.28824955169313e+002	7.41562293999895e+003,-5.64174538242540e+004
1.31825673855641e+002	7.41315186195230e+003,-5.51446376826575e+004
1.34896288259165e+002	7.41058069158030e+003,-5.39010065621345e+004
1.38038426460288e+002	7.40790596656653e+003,-5.26858979921894e+004
1.41253754462275e+002	7.40512414695757e+003,-5.14986644706916e+004
1.44543977074593e+002	7.40223161653321e+003,-5.03386731145054e+004
1.47910838816821e+002	7.39922468410801e+003,-4.92053053178029e+004
1.51356124843621e+002	7.39609958532109e+003,-4.80979564177702e+004
1.54881661891248e+002	7.39285248469236e+003,-4.70160353675904e+004
1.58489319246111e+002	7.38947947790045e+003,-4.59589644165685e+004
1.62181009735893e+002	7.38597659456555e+003,-4.49261787971141e+004
1.65958690743756e+002	7.38233980120667e+003,-4.39171264185636e+004
1.69824365246174e+002	7.37856500482163e+003,-4.29312675675794e+004
1.73780082874937e+002	7.37464805674363e+003,-4.19680746150199e+004
1.77827941003892e+002	7.37058475692903e+003,-4.10270317291408e+004
1.81970085860998e+002	7.36637085894567e+003,-4.01076345949802e+004
1.86208713666287e+002	7.36200207533351e+003,-3.92093901397818e+004
1.90546071796324e+002	7.35747408354161e+003,-3.83318162643423e+004
1.94984459975804e+002	7.35278253258894e+003,-3.74744415801851e+004
1.99526231496888e+002	7.34792305041513e+003,-3.66368051524135e+004
2.04173794466953e+002	7.34289125177924e+003,-3.58184562481648e+004
2.08929613085404e+002	7.33768274712300e+003,-3.50189540905840e+004
2.13796208950223e+002	7.33229315215731e+003,-3.42378676181887e+004
2.18776162394955e+002	7.32671809832858e+003,-3.34747752496249e+004
2.23872113856834e+002	7.32095324426350e+003,-3.27292646536894e+004
2.29086765276777e+002	7.31499428814367e+003,-3.20009325246091e+004
2.34422881531992e+002	7.30883698105828e+003,-3.12893843625037e+004
2.39883291901949e+002	7.30247714151309e+003,-3.05942342590758e+004
2.45470891568503e+002	7.29591067107979e+003,-2.99151046884367e+004
2.51188643150958e+002	7.28913357091098e+003,-2.92516263030939e+004
2.57039578276886e+002	7.28214195977036e+003,-2.86034377351862e+004
2.63026799189538e+002	7.27493209299141e+003,-2.79701854028554e+004
2.69153480392691e+002	7.26750038271890e+003,-2.73515233219198e+004
2.75422870333816e+002	7.25984341920648e+003,-2.67471129228155e+004
2.81838293126445e+002	7.25195799339041e+003,-2.61566228729219e+004
2.88403150312660e+002	7.24384112037919e+003,-2.55797289042527e+004
2.95120922666638e+002	7.23549006417910e+003,-2.50161136467150e+004
3.01995172040201e+002	7.22690236316187e+003,-2.44654664668595e+004
3.09029543251358e+002	7.21807585646953e+003,-2.39274833123270e+004
3.16227766016837e+002	7.20900871119142e+003,-2.34018665620068e+004
3.23593656929628e+002	7.19969944997017e+003,-2.28883248819759e+004
3.31131121482590e+002	7.19014697909992e+003,-2.23865730873387e+004
