Freq.	V(vo)
1.00000000000000e+003	7.32463695425220e-001,-1.19166598077266e-001
1.02329299228075e+003	7.31574629939395e-001,-1.21794330933145e-001
1.04712854805090e+003	7.30645974422650e-001,-1.24473079295818e-001
1.07151930523761e+003	7.29676076310216e-001,-1.27203348870601e-001
1.09647819614319e+003	7.28663224357979e-001,-1.29985613694403e-001
1.12201845430196e+003	7.27605647537787e-001,-1.32820312898763e-001
1.14815362149688e+003	7.26501514014640e-001,-1.35707847285137e-001
1.17489755493953e+003	7.25348930219033e-001,-1.38648575706905e-001
1.20226443461741e+003	7.24145940028853e-001,-1.41642811252959e-001
1.23026877081238e+003	7.22890524076347e-001,-1.44690817228256e-001
1.25892541179417e+003	7.21580599196861e-001,-1.47792802927392e-001
1.28824955169313e+003	7.20214018037278e-001,-1.50948919197955e-001
1.31825673855641e+003	7.18788568843312e-001,-1.54159253791347e-001
1.34896288259165e+003	7.17301975446106e-001,-1.57423826499760e-001
1.38038426460288e+003	7.15751897469825e-001,-1.60742584079197e-001
1.41253754462275e+003	7.14135930783255e-001,-1.64115394959770e-001
1.44543977074593e+003	7.12451608219672e-001,-1.67542043746045e-001
1.47910838816821e+003	7.10696400590463e-001,-1.71022225511922e-001
1.51356124843621e+003	7.08867718019231e-001,-1.74555539896479e-001
1.54881661891248e+003	7.06962911624185e-001,-1.78141485009334e-001
1.58489319246111e+003	7.04979275577710e-001,-1.81779451156474e-001
1.62181009735893e+003	7.02914049572896e-001,-1.85468714400077e-001
1.65958690743756e+003	7.00764421727639e-001,-1.89208429968712e-001
1.69824365246174e+003	6.98527531957493e-001,-1.92997625537396e-001
1.73780082874937e+003	6.96200475848886e-001,-1.96835194400311e-001
1.77827941003892e+003	6.93780309064461e-001,-2.00719888562580e-001
1.81970085860998e+003	6.91264052312184e-001,-2.04650311781326e-001
1.86208713666287e+003	6.88648696909400e-001,-2.08624912590295e-001
1.90546071796325e+003	6.85931210972186e-001,-2.12641977346606e-001
1.94984459975804e+003	6.83108546259129e-001,-2.16699623342654e-001
1.99526231496888e+003	6.80177645696908e-001,-2.20795792030868e-001
2.04173794466953e+003	6.77135451612854e-001,-2.24928242413760e-001
2.08929613085404e+003	6.73978914696850e-001,-2.29094544656628e-001
2.13796208950223e+003	6.70705003711540e-001,-2.33292073985160e-001
2.18776162394955e+003	6.67310715965702e-001,-2.37518004935106e-001
2.23872113856834e+003	6.63793088560942e-001,-2.41769306026002e-001
2.29086765276777e+003	6.60149210416259e-001,-2.46042734935568e-001
2.34422881531992e+003	6.56376235068845e-001,-2.50334834255825e-001
2.39883291901949e+003	6.52471394242325e-001,-2.54641927915997e-001
2.45470891568503e+003	6.48432012165828e-001,-2.58960118360839e-001
2.51188643150958e+003	6.44255520618556e-001,-2.63285284576065e-001
2.57039578276886e+003	6.39939474665074e-001,-2.67613081054789e-001
2.63026799189538e+003	6.35481569036291e-001,-2.71938937800385e-001
2.69153480392691e+003	6.30879655100199e-001,-2.76258061461603e-001
2.75422870333816e+003	6.26131758354853e-001,-2.80565437695164e-001
2.81838293126445e+003	6.21236096363969e-001,-2.84855834849127e-001
2.88403150312660e+003	6.16191097042999e-001,-2.89123809057011e-001
2.95120922666638e+003	6.10995417190739e-001,-2.93363710827861e-001
3.01995172040201e+003	6.05647961148632e-001,-2.97569693210944e-001
3.09029543251359e+003	6.00147899457069e-001,-3.01735721605564e-001
3.16227766016838e+003	5.94494687365549e-001,-3.05855585276465e-001
3.23593656929628e+003	5.88688083041567e-001,-3.09922910623353e-001
3.31131121482591e+003	5.82728165311975e-001,-3.13931176239272e-001
3.38844156139202e+003	5.76615350760581e-001,-3.17873729776875e-001
3.46736850452531e+003	5.70350409997089e-001,-3.21743806624082e-001
3.54813389233575e+003	5.63934482905605e-001,-3.25534550371365e-001
3.63078054770101e+003	5.57369092676029e-001,-3.29239035032036e-001
3.71535229097172e+003	5.50656158419061e-001,-3.32850288954689e-001
3.80189396320561e+003	5.43798006165537e-001,-3.36361320343568e-001
3.89045144994280e+003	5.36797378053661e-001,-3.39765144278429e-001
3.98107170553497e+003	5.29657439513600e-001,-3.43054811100808e-001
4.07380277804112e+003	5.22381784268029e-001,-3.46223436008846e-001
4.16869383470335e+003	5.14974436979715e-001,-3.49264229678473e-001
